DAP,Gen,Loc,PlantID,Date,GrowthRate,Temperature,Solar.Rad,Humidity
87,B,N,1 # 2 # 4 # 5 # 6,8/5/16,4.4867703,81,35.14,28.45
88,B,N,1 # 2 # 4 # 5 # 6,8/6/16,3.720411289,73,35.28,24.72
89,B,N,1 # 2 # 4 # 5 # 6,8/7/16,2.993216432,71,34.67,26.89
90,B,N,1 # 2 # 4 # 5 # 6,8/8/16,2.346041771,72,35.06,25.65
91,B,N,1 # 2 # 4 # 5 # 6,8/9/16,1.799330017,85,34.13,37.64
92,B,N,1 # 2 # 4 # 5 # 6,8/10/16,1.356225492,97,35.14,47.99
93,B,N,1 # 2 # 4 # 5 # 6,8/11/16,1.00847505,97,32.33,67.36
94,B,N,1 # 2 # 4 # 5 # 6,8/12/16,0.742180207,88,32,47.62
95,B,N,1 # 2 # 4 # 5 # 6,8/13/16,0.541986281,83,34.74,51.59
96,B,N,1 # 2 # 4 # 5 # 6,8/14/16,0.393528513,87,35.6,49.24
97,B,N,1 # 2 # 4 # 5 # 6,8/15/16,0.284536203,89,34.13,42.74
98,B,N,1 # 2 # 4 # 5 # 6,8/16/16,0.205101444,93,36.76,68.52
99,B,N,1 # 2 # 4 # 5 # 6,8/17/16,0.147514992,90,37.08,64.36
100,B,N,1 # 2 # 4 # 5 # 6,8/18/16,0.105927293,93,34.09,66.44
